1	-47	19
1	52	23
-49	-56	24
49	-57	25
-18	30	48
22	26	49
-60	-14	-3
59	-14	-6
4	-7	7
-14	-26	10
-40	8	3
42	8	1
-42	38	23
40	40	16
-54	12	8
55	14	8
1	4	42
-59	-21	26
58	-23	28
-22	-65	44
19	-67	46
-35	-39	42
35	-39	43
-7	-49	2
5	-49	6
-1	52	12
-40	-59	44
45	-48	46
-42	27	33
45	29	33
-3	-67	36
-40	51	5
42	50	8
-33	21	5
34	20	5
1	-18	11
-20	-68	-14
23	-68	-13
2	-64	-4
-46	23	12
12	-81	27
-42	-67	4
42	-68	-4
10	-13	9
-52	-21	18
51	-25	19
-55	0	7
58	0	5
45	39	12
0	-14	10
-1	-15	52
-20	-15	53
21	-15	54
-29	-36	52
29	-34	52
5	45	11
1	-2	-9
2	-71	-21
