-35,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-35,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 20
-35,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,0,-40,Limbic Lobe,Uncus,Brodmann area 20
-30,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-25,0,-40,Limbic Lobe,Uncus,Brodmann area 20
-25,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
25,0,-40,Limbic Lobe,*,Brodmann area 20
25,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,0,-40,Limbic Lobe,Uncus,Brodmann area 20
30,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
35,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 20
35,5,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-55,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-40,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,0,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
-40,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-40,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-35,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-35,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-35,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-35,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
-35,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-35,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,-10,-35,Limbic Lobe,Uncus,Brodmann area 20
-30,-5,-35,Limbic Lobe,Uncus,Brodmann area 20
-30,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-25,-5,-35,Limbic Lobe,Uncus,Brodmann area 36
-25,0,-35,Limbic Lobe,Uncus,Brodmann area 20
-25,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-25,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-20,0,-35,Limbic Lobe,Uncus,Brodmann area 36
-20,5,-35,Limbic Lobe,Uncus,Brodmann area 38
-20,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
20,5,-35,Limbic Lobe,Uncus,Brodmann area 38
20,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
25,-5,-35,Limbic Lobe,Uncus,Brodmann area 36
25,0,-35,Limbic Lobe,Uncus,Brodmann area 20
25,5,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
25,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
25,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,-10,-35,Limbic Lobe,Uncus,Brodmann area 20
30,-5,-35,Limbic Lobe,Uncus,Brodmann area 20
30,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
35,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
35,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
35,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,0,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
40,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
45,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
45,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
45,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
50,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
55,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
55,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-55,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-55,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-55,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-55,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-55,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-50,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-50,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-50,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-50,10,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-45,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-45,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-45,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-40,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
-40,-5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-40,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-40,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
-40,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-40,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-40,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-35,-15,-30,Limbic Lobe,Uncus,Brodmann area 20
-35,-10,-30,Limbic Lobe,Uncus,Brodmann area 20
-35,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-35,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-35,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-35,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,-15,-30,Limbic Lobe,Uncus,Brodmann area 20
-30,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
-30,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
-30,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-30,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-25,-15,-30,Limbic Lobe,Uncus,Brodmann area 28
-25,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
-25,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
-25,0,-30,Limbic Lobe,Uncus,Brodmann area 36
-25,5,-30,Limbic Lobe,Uncus,Brodmann area 28
-25,10,-30,Limbic Lobe,Uncus,Brodmann area 38
-25,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-20,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
-20,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
-20,0,-30,Limbic Lobe,Uncus,Brodmann area 36
-20,5,-30,Limbic Lobe,Uncus,Brodmann area 38
-20,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
-15,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-15,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-10,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-10,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-10,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-10,50,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-5,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-5,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
-5,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
5,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
5,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
5,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
10,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
10,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
10,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
10,50,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
15,35,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
15,40,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
15,45,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
15,50,-30,Frontal Lobe,Orbital Gyrus,Brodmann area 11
20,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
20,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
20,0,-30,Limbic Lobe,Uncus,Brodmann area 36
20,5,-30,Limbic Lobe,Uncus,Brodmann area 38
25,-15,-30,Limbic Lobe,Uncus,Brodmann area 28
25,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
25,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
25,0,-30,Limbic Lobe,Uncus,Brodmann area 36
25,5,-30,Limbic Lobe,Uncus,Brodmann area 28
25,10,-30,Limbic Lobe,Uncus,Brodmann area 38
25,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,-15,-30,Limbic Lobe,Uncus,Brodmann area 20
30,-10,-30,Limbic Lobe,Uncus,Brodmann area 28
30,-5,-30,Limbic Lobe,Uncus,Brodmann area 36
30,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
30,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,-15,-30,Limbic Lobe,Uncus,Brodmann area 20
35,-10,-30,Limbic Lobe,Uncus,Brodmann area 20
35,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38
35,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
35,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,-15,-30,Limbic Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
40,-5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
40,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
40,5,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
40,20,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
45,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
45,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
45,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
45,10,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
45,15,-30,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38
50,-20,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
50,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
50,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
50,10,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
55,-15,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
55,-10,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
55,-5,-30,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20
55,0,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
55,5,-30,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-60,-15,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20
-60,-10,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20
-55,-20,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20
-55,-10,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20
-55,-5,-25,Temporal Lobe,Fusiform Gyrus,Brodmann area 20
-55,0,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-55,5,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
-55,10,-25,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21
